Name,Classy Designations: Designation Name,City,State
ACH CLEAR PATHWAYS,Community Managed,PITTSBURGH,Pennsylvania
Gloria's kids,Community Managed,pittsburgh,Pennsylvania
Sara Castillo,Community Managed,Reading,Pennsylvania
Acts of Kindness,Community Managed,Yeadon,Pennsylvania
"Maranatha Outreach Ministries, Inc.",Community Managed,,Pennsylvania
Pure Treadurez Social Club,Community Managed,Florence,South Carolina
Kiwanis Aktion Club Upstate SC,Community Managed,Simpsonville,South Carolina
Rosebud Economic Development Corporation,Community Managed,Mission,South Dakota
Kiwanis Cub of Norwood,Community Managed,Knoxville,Tennessee
Memphis College Prep,Community Managed,Memphis,Tennessee
Memphis District Prince Hall Masons-Central,Community Managed,Memphis,Tennessee
New Vision Community Project,Community Managed,Memphis,Tennessee
Mu Sigma Sigma Rhoer Club,Community Managed,MEMPHIS,Tennessee
Shelby county schools/ Robert R. Church School,Community Managed,MEMPHIS,Tennessee
My Brother & Me,Community Managed,Nashville,Tennessee
New Unity Church,Community Managed,nashville,Tennessee
Calvert HS FCA,Community Managed,Calvert,Texas
Trinity Basin Preparatory - Jefferson,Community Managed,Dallas,Texas
Dallas South Women's Association,Community Managed,dallas,Texas
Young Money Sports Agency,Community Managed,Dallas,Texas
A.W.Brown Leadership Academy,Community Managed,Dallas,Texas
Nakeda Lindsey Family,Community Managed,Dallas,Texas
Infinite Hands Initiative (IHI),Community Managed,Friendswood,Texas
Bullock Chapel CME Church c/o We Care-We Share,Community Managed,Garland,Texas
Osborne Elementary,Community Managed,Houston,Texas
"Eyes On Me, Inc.",Community Managed,HOUSTON,Texas
Ng Foundation Inc,Community Managed,Killeen,Texas
No One Left Behind Church,Community Managed,Midland,Texas
Juarez Lincoln High School Migrant Club,Community Managed,Mission,Texas
Salvation Army of Paris Texas,Community Managed,Paris,Texas
Garfield Elementary PISD,Community Managed,Pasadena,Texas
"Port Arthur Top Ladies of Distinction, Inc. & Top Teens",Community Managed,Port Arthur,Texas
World Action Revival Ministries,Community Managed,Rockwall,Texas
On The Border,Community Managed,Rockwall,Texas
Metropolitan Dream Center,Community Managed,Rockwall,Texas
Jennie Yoshimoto Team,Community Managed,San Antonio,Texas
Kindred Elementary,Community Managed,San Antonio,Texas
Belton Central Early Head Start,Community Managed,Temple,Texas
YWCA Utah,Community Managed,Salt Lake City,Utah
Granger Elementary School PTA,Community Managed,West Valley City,Utah
Onancock Elks Lodge #1766,Community Managed,Accomac,Virginia
The Campagna Center,Community Managed,Alexandria,Virginia
Hope for Humanity,Community Managed,Burtonsville,Maryland
Kiwians Club,Community Managed,Hampton,Virginia
JMU Students,Community Managed,Harrisonburg,Virginia
